,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,2,27,26,6,0,0,0,0
true_2,1,43,84,15,1,1,0,0
true_3,0,23,132,62,8,1,0,0
true_4,0,5,68,56,14,6,1,0
true_5,0,0,23,30,18,3,5,0
true_6,0,0,9,28,25,17,5,0
true_7,0,0,3,13,38,28,11,2
true_8,0,0,2,3,8,18,19,5
