epoch,loss,raw_mae,rounded_mae,val_loss,val_raw_mae,val_rounded_mae
0,1.7281560897827148,1.9375699758529663,1.8817440271377563,4.084558963775635,3.8607125282287598,3.066580057144165
1,1.499967336654663,1.8771051168441772,1.861181378364563,3.772218704223633,3.571239471435547,3.066580057144165
2,1.443660855293274,1.8839656114578247,1.8687317371368408,3.799945592880249,3.616203784942627,3.066580057144165
3,1.3837206363677979,1.894216775894165,1.8760929107666016,3.533445358276367,3.3630714416503906,3.066580057144165
4,1.3461723327636719,1.9080524444580078,1.8935444355010986,3.342057228088379,3.1820380687713623,3.066580057144165
5,1.3169634342193604,1.932742953300476,1.9129629135131836,3.339042901992798,3.1876273155212402,3.066580057144165
6,1.2742056846618652,1.9442375898361206,1.9221646785736084,3.3845677375793457,3.2404608726501465,3.066580057144165
7,1.2458136081695557,1.942299485206604,1.928445816040039,2.751572608947754,2.6133131980895996,2.6697182655334473
8,1.2383794784545898,1.9632234573364258,1.9501984119415283,2.801208734512329,2.66713285446167,2.725412130355835
9,1.2011058330535889,1.9612503051757812,1.9460201263427734,2.9580202102661133,2.8284547328948975,2.7857742309570312
10,1.200284719467163,1.959008812904358,1.940807580947876,1.655648946762085,1.5441826581954956,1.5300225019454956
11,1.1578869819641113,1.9758758544921875,1.9575207233428955,2.3978543281555176,2.279513120651245,2.270451068878174
12,1.1755752563476562,1.9771531820297241,1.9595587253570557,1.2578442096710205,1.1663503646850586,1.1492528915405273
13,1.135337233543396,2.0035855770111084,1.9823353290557861,2.3928778171539307,2.2748262882232666,2.2555861473083496
14,1.1264326572418213,1.9819080829620361,1.9622762203216553,2.045475721359253,1.9366949796676636,1.9387532472610474
15,1.1204289197921753,1.9987231492996216,1.9824457168579102,1.5603195428848267,1.4730082750320435,1.418747901916504
16,1.0969105958938599,2.0146355628967285,1.9966977834701538,2.5927488803863525,2.47892427444458,2.334850549697876
17,1.0981385707855225,2.011564016342163,1.9927456378936768,1.6587154865264893,1.5696710348129272,1.570186734199524
18,1.0827158689498901,2.0062921047210693,1.9919835329055786,1.4255709648132324,1.3242629766464233,1.299695372581482
19,1.069448471069336,2.003446102142334,1.9835723638534546,1.7220240831375122,1.6193026304244995,1.5881893634796143
20,1.035902738571167,2.0162758827209473,2.0008413791656494,1.4986019134521484,1.4021527767181396,1.3825922012329102
21,1.0598664283752441,2.026238203048706,2.007707118988037,1.499375820159912,1.426235556602478,1.3902286291122437
22,1.0355894565582275,2.0184311866760254,1.9985910654067993,1.3671845197677612,1.2723140716552734,1.2550212144851685
23,1.0359185934066772,2.0246710777282715,2.0130701065063477,1.2910364866256714,1.2023067474365234,1.1893527507781982
24,1.0287933349609375,2.0261828899383545,2.011913537979126,1.2117398977279663,1.131161093711853,1.1047989130020142
25,1.041877269744873,2.0236294269561768,2.0081119537353516,1.1609480381011963,1.0925878286361694,1.074134111404419
26,1.0077155828475952,2.0270769596099854,2.0087411403656006,1.165742039680481,1.0795977115631104,1.0500890016555786
27,0.9824118614196777,2.0377609729766846,2.021538019180298,1.3508989810943604,1.266911268234253,1.2258861064910889
28,0.9979652762413025,2.0375049114227295,2.02091383934021,1.8488763570785522,1.7446868419647217,1.7212371826171875
29,1.0066293478012085,2.0468804836273193,2.0244393348693848,1.2713199853897095,1.1971501111984253,1.1803617477416992
30,1.0455738306045532,2.0443646907806396,2.0270302295684814,1.9158148765563965,1.8173588514328003,1.7853854894638062
31,0.965525209903717,2.0470173358917236,2.029276132583618,1.3958760499954224,1.3206255435943604,1.2958190441131592
32,0.98580002784729,2.037245512008667,2.019198179244995,1.1253420114517212,1.053998589515686,1.0449059009552002
33,0.9678922295570374,2.0431275367736816,2.026217460632324,1.6729345321655273,1.5700570344924927,1.5441066026687622
34,0.9963334202766418,2.045527219772339,2.031402111053467,1.1316554546356201,1.0413081645965576,1.0218372344970703
35,0.9380434155464172,2.05025053024292,2.0294411182403564,2.293473958969116,2.189856767654419,2.065537929534912
36,0.942466139793396,2.057194948196411,2.038954973220825,1.1338375806808472,1.0485912561416626,1.0302335023880005
37,0.9362261891365051,2.0485851764678955,2.0334715843200684,1.3547937870025635,1.276304841041565,1.227468729019165
38,0.9246941208839417,2.0618464946746826,2.0466148853302,1.5565353631973267,1.4628206491470337,1.4434411525726318
39,0.9031791687011719,2.057858467102051,2.0401930809020996,1.5886412858963013,1.4899485111236572,1.474636197090149
40,0.9219251275062561,2.0457043647766113,2.0305967330932617,1.2602462768554688,1.1760631799697876,1.1625120639801025
41,0.8850337266921997,2.0515427589416504,2.0316708087921143,1.3127522468566895,1.2356107234954834,1.2061030864715576
42,0.8832470774650574,2.071009635925293,2.0589327812194824,2.32478666305542,2.220343828201294,2.129117488861084
43,0.9076173305511475,2.072266101837158,2.053464651107788,1.3238379955291748,1.2229586839675903,1.18478524684906
44,0.8838212490081787,2.0753426551818848,2.0611016750335693,1.7515586614608765,1.653422236442566,1.6229592561721802
45,0.8790359497070312,2.0835509300231934,2.0648396015167236,1.3209114074707031,1.2460867166519165,1.2063798904418945
46,0.8532422184944153,2.077014446258545,2.0619466304779053,1.490082859992981,1.3945987224578857,1.3787771463394165
47,0.8856112957000732,2.0787901878356934,2.0591862201690674,2.228708267211914,2.1241517066955566,2.0246951580047607
48,0.8519072532653809,2.0725769996643066,2.0524325370788574,1.803703784942627,1.706671953201294,1.6950911283493042
49,0.8548054695129395,2.074660539627075,2.0579636096954346,1.72565495967865,1.6033856868743896,1.5526068210601807
