,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,3,38,16,3,1,0,0,0
true_2,0,56,75,11,2,1,0,0
true_3,0,27,118,59,15,6,1,0
true_4,0,4,46,59,24,14,3,0
true_5,0,1,4,26,23,16,8,1
true_6,0,0,2,15,23,23,19,2
true_7,0,0,0,4,12,33,35,11
true_8,0,0,0,2,1,11,25,16
