,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,0,0,29,30,2,0,0,0
true_2,0,0,77,61,7,0,0,0
true_3,0,0,107,110,8,1,0,0
true_4,0,0,72,64,12,2,0,0
true_5,0,0,22,42,13,2,0,0
true_6,0,0,24,37,18,3,2,0
true_7,0,0,19,53,20,3,0,0
true_8,0,0,2,31,20,1,1,0
