,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,8,35,12,4,2,0,0,0
true_2,7,70,50,14,3,1,0,0
true_3,1,60,92,55,16,2,0,0
true_4,0,11,57,45,25,8,4,0
true_5,0,1,11,23,23,14,5,2
true_6,0,0,4,12,29,23,14,2
true_7,0,0,0,4,17,31,32,11
true_8,0,0,1,2,3,11,24,14
