,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,3,33,23,1,1,0,0,0
true_2,2,61,66,11,4,1,0,0
true_3,1,43,113,55,11,3,0,0
true_4,0,10,62,52,15,5,5,1
true_5,0,1,20,19,20,15,2,2
true_6,0,0,11,18,26,22,6,1
true_7,0,0,4,13,28,33,16,1
true_8,0,0,0,6,7,21,16,5
