,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,0,0,35,24,2,0,0,0
true_2,0,0,81,58,6,0,0,0
true_3,0,0,124,95,6,1,0,0
true_4,0,1,78,58,11,2,0,0
true_5,0,0,26,40,13,0,0,0
true_6,0,0,24,38,19,2,1,0
true_7,0,0,24,49,20,2,0,0
true_8,0,0,5,30,19,1,0,0
