,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,10,31,16,4,0,0,0,0
true_2,7,55,72,8,2,1,0,0
true_3,0,38,98,68,17,3,2,0
true_4,0,2,43,52,42,9,2,0
true_5,0,1,5,18,31,19,5,0
true_6,0,1,3,14,19,35,12,0
true_7,0,0,1,3,16,38,34,3
true_8,0,0,0,1,3,18,24,9
