,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,1,31,19,8,2,0,0,0
true_2,0,47,82,12,2,2,0,0
true_3,0,30,119,54,15,7,1,0
true_4,0,4,51,50,27,14,4,0
true_5,0,1,9,28,22,12,6,1
true_6,0,1,1,17,26,24,15,0
true_7,0,0,0,5,15,37,31,7
true_8,0,0,0,1,5,16,20,13
