,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,9,31,17,4,0,0,0,0
true_2,8,63,61,12,0,1,0,0
true_3,0,47,104,57,14,3,1,0
true_4,0,8,43,63,22,11,3,0
true_5,0,0,9,22,24,17,6,1
true_6,0,0,6,15,21,24,14,4
true_7,0,0,1,5,17,35,32,5
true_8,0,0,0,0,9,13,18,15
