,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,1,37,18,3,2,0,0,0
true_2,1,56,72,12,3,1,0,0
true_3,0,48,101,55,17,5,0,0
true_4,0,10,64,37,24,12,3,0
true_5,0,2,13,19,31,11,1,2
true_6,0,0,13,16,27,21,6,1
true_7,0,0,3,11,25,40,13,3
true_8,0,0,0,5,8,13,20,9
