,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,2,32,24,3,0,0,0,0
true_2,2,71,58,9,4,1,0,0
true_3,0,54,92,66,11,3,0,0
true_4,0,12,62,45,21,7,3,0
true_5,0,1,21,19,26,7,5,0
true_6,0,1,10,17,25,22,9,0
true_7,0,0,2,16,32,33,11,1
true_8,0,0,1,5,9,19,17,4
