,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,1,21,29,9,1,0,0,0
true_2,1,49,67,21,5,1,0,1
true_3,0,37,103,57,20,8,1,0
true_4,0,9,54,49,18,16,4,0
true_5,0,0,19,18,21,13,6,2
true_6,0,1,5,13,30,22,11,2
true_7,0,0,0,10,22,34,23,6
true_8,0,0,1,2,5,15,20,12
