,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,0,33,22,6,0,0,0,0
true_2,0,48,82,10,5,0,0,0
true_3,0,30,126,57,10,3,0,0
true_4,0,6,63,44,22,8,7,0
true_5,0,0,11,31,14,13,7,3
true_6,0,1,10,9,16,30,15,3
true_7,0,0,1,9,17,34,24,10
true_8,0,0,2,0,6,18,15,14
