,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,1,42,16,2,0,0,0,0
true_2,0,79,58,4,4,0,0,0
true_3,0,62,127,30,7,0,0,0
true_4,0,27,69,36,13,5,0,0
true_5,0,1,32,27,13,5,1,0
true_6,0,2,13,28,31,10,0,0
true_7,0,0,7,27,42,16,3,0
true_8,0,0,3,8,20,18,5,1
