,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,2,37,16,4,2,0,0,0
true_2,0,59,69,13,2,2,0,0
true_3,0,38,108,50,22,7,1,0
true_4,0,5,55,39,28,18,5,0
true_5,0,2,8,22,26,15,3,3
true_6,0,1,7,12,20,32,9,3
true_7,0,0,1,6,20,30,33,5
true_8,0,0,0,1,5,15,21,13
