,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,6,37,14,3,1,0,0,0
true_2,2,72,56,12,1,1,1,0
true_3,0,46,109,52,14,5,0,0
true_4,0,5,56,54,26,8,1,0
true_5,0,1,10,24,24,15,5,0
true_6,0,1,5,13,31,25,9,0
true_7,0,0,0,6,21,42,26,0
true_8,0,0,0,2,3,19,25,6
