,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,5,26,26,3,1,0,0,0
true_2,1,55,64,19,5,0,1,0
true_3,2,37,96,71,17,2,1,0
true_4,0,11,54,52,21,7,3,2
true_5,0,0,13,25,22,13,4,2
true_6,0,0,9,17,24,22,12,0
true_7,0,0,3,12,25,36,17,2
true_8,0,0,0,4,10,20,15,6
