epoch,loss,raw_mae,rounded_mae,val_loss,val_raw_mae,val_rounded_mae
0,1.4449400901794434,1.916364312171936,1.8958005905151367,3.5111639499664307,3.519158124923706,3.066580057144165
1,1.3085215091705322,1.91855788230896,1.9015463590621948,2.6983304023742676,2.706214666366577,2.9645485877990723
2,1.2467454671859741,1.9432255029678345,1.9178529977798462,2.2504990100860596,2.2569580078125,2.2027409076690674
3,1.20879328250885,1.9594980478286743,1.9391000270843506,1.9285345077514648,1.9360722303390503,1.9470826387405396
4,1.180408000946045,1.9585129022598267,1.9394047260284424,1.9767024517059326,1.9835598468780518,2.1116745471954346
5,1.1318680047988892,1.9733648300170898,1.9548238515853882,1.910356044769287,1.915069818496704,1.9111133813858032
6,1.1141209602355957,1.9905961751937866,1.9677612781524658,1.769304871559143,1.7746531963348389,1.7192577123641968
7,1.1172147989273071,1.98670494556427,1.9652687311172485,1.4195116758346558,1.4334691762924194,1.4049943685531616
8,1.0637190341949463,2.009467840194702,1.9869880676269531,1.6380935907363892,1.6465532779693604,1.626587152481079
9,1.0722652673721313,2.0057260990142822,1.9858171939849854,1.3466192483901978,1.3602229356765747,1.3287012577056885
10,1.0717183351516724,2.0100743770599365,1.9908195734024048,1.2646676301956177,1.274208664894104,1.253324270248413
11,1.0439417362213135,2.0191690921783447,1.9937773942947388,1.3117364645004272,1.328123927116394,1.3035686016082764
12,1.0539954900741577,2.020684003829956,1.9982582330703735,1.0508244037628174,1.0778350830078125,1.0487252473831177
13,1.0093719959259033,2.027144193649292,2.009169340133667,1.6122580766677856,1.6164721250534058,1.5912925004959106
14,1.05382239818573,2.0376765727996826,2.014930248260498,1.5071276426315308,1.510133981704712,1.4721187353134155
15,1.0368843078613281,2.029531478881836,2.0087568759918213,1.0187435150146484,1.0449635982513428,1.0084861516952515
16,1.0234429836273193,2.0313873291015625,2.0052261352539062,1.2504241466522217,1.25886070728302,1.2255585193634033
17,0.9935394525527954,2.036445140838623,2.014303684234619,2.0866053104400635,2.090740442276001,2.0848660469055176
18,0.9636356830596924,2.0404486656188965,2.019993782043457,1.4188398122787476,1.428282380104065,1.4131065607070923
19,0.9908473491668701,2.0399649143218994,2.0154402256011963,1.4767816066741943,1.4863195419311523,1.4123846292495728
20,0.9834209084510803,2.043637275695801,2.0194995403289795,1.458784818649292,1.4636586904525757,1.4381694793701172
21,0.9998501539230347,2.0714728832244873,2.050379514694214,1.2369526624679565,1.2485204935073853,1.2194017171859741
22,0.9573334455490112,2.0509185791015625,2.025768518447876,0.978497326374054,0.9975418448448181,0.9571875929832458
23,0.9630438685417175,2.0433554649353027,2.0200858116149902,1.3049554824829102,1.3159542083740234,1.3038103580474854
24,0.9610575437545776,2.0598363876342773,2.0359342098236084,1.0186357498168945,1.0349828004837036,1.0098743438720703
25,0.9564625024795532,2.0502617359161377,2.0278353691101074,0.994103729724884,1.0079797506332397,0.9770085215568542
26,0.9362847805023193,2.0547783374786377,2.0293943881988525,0.957213819026947,0.9816595315933228,0.9635459184646606
27,0.9372725486755371,2.0554449558258057,2.032050371170044,0.9525868892669678,0.964807391166687,0.9247561693191528
28,0.9260212182998657,2.060112476348877,2.0362627506256104,1.1442201137542725,1.171929121017456,1.137518048286438
29,0.9364209771156311,2.0597355365753174,2.038161039352417,1.1349976062774658,1.1591682434082031,1.1345323324203491
30,0.9720931649208069,2.0778145790100098,2.053460121154785,0.9195215702056885,0.9458823800086975,0.9102707505226135
31,0.9184977412223816,2.0690340995788574,2.040173292160034,0.967832624912262,0.9878433346748352,0.9484276175498962
32,0.9244165420532227,2.048952341079712,2.026873826980591,1.3868225812911987,1.4074434041976929,1.3896805047988892
33,0.9343790411949158,2.049741268157959,2.0242223739624023,1.000948190689087,1.0332188606262207,0.9956592917442322
34,0.9185060262680054,2.0618374347686768,2.0385940074920654,0.9457319974899292,0.9576611518859863,0.9305647611618042
35,0.9097944498062134,2.079699754714966,2.052046775817871,0.9995654821395874,1.0275987386703491,0.9781747460365295
36,0.8819298148155212,2.070024251937866,2.0490610599517822,1.0472992658615112,1.0754684209823608,1.0341869592666626
37,0.9062645435333252,2.0760419368743896,2.0517961978912354,1.5997154712677002,1.6084368228912354,1.5358487367630005
38,0.8856683373451233,2.0843698978424072,2.0555641651153564,1.0705982446670532,1.0796775817871094,1.0353810787200928
39,0.8912721872329712,2.05875301361084,2.033421754837036,1.0350229740142822,1.0562299489974976,1.0294479131698608
40,0.9144161343574524,2.0826635360717773,2.053248882293701,1.0754786729812622,1.0947606563568115,1.054927945137024
41,0.8831291198730469,2.076279401779175,2.0539939403533936,1.0403894186019897,1.0430012941360474,1.0266166925430298
42,0.868897020816803,2.0657925605773926,2.0444092750549316,0.9538585543632507,0.9796191453933716,0.9474830031394958
43,0.8657364845275879,2.0665907859802246,2.0385899543762207,0.9116075038909912,0.9322482943534851,0.8772945404052734
44,0.887030839920044,2.0686697959899902,2.047312021255493,1.0335454940795898,1.0536558628082275,1.032984733581543
45,0.8655303716659546,2.0879290103912354,2.065011978149414,0.947719395160675,0.9719194769859314,0.9266229271888733
46,0.856963038444519,2.0727856159210205,2.052415132522583,1.0156598091125488,1.0195780992507935,0.975755512714386
47,0.8860378861427307,2.076916217803955,2.049345016479492,0.9129989147186279,0.9410905838012695,0.914156436920166
48,0.8490830659866333,2.0986554622650146,2.0788543224334717,0.9971715807914734,1.0082887411117554,0.9721781611442566
49,0.8686599731445312,2.080396890640259,2.0517797470092773,0.982236385345459,0.9950687289237976,0.958835780620575
50,0.8542010188102722,2.0870261192321777,2.0579402446746826,1.205220341682434,1.2228292226791382,1.2023839950561523
51,0.8603307008743286,2.0689938068389893,2.043860912322998,0.9696334600448608,0.9881170988082886,0.9659644365310669
52,0.8437607884407043,2.0971946716308594,2.0672693252563477,1.1796090602874756,1.200303077697754,1.161178469657898
53,0.8378241658210754,2.103095531463623,2.0825345516204834,1.8992993831634521,1.9052633047103882,1.8044596910476685
54,0.8573529720306396,2.080601453781128,2.058969020843506,0.9209315180778503,0.9404321908950806,0.9107481837272644
55,0.8647461533546448,2.091420888900757,2.060997486114502,1.0061736106872559,1.0107418298721313,0.9854048490524292
56,0.8455454707145691,2.084907054901123,2.0623679161071777,1.026259183883667,1.0372165441513062,1.0179237127304077
57,0.8176291584968567,2.0938174724578857,2.0700762271881104,1.4232538938522339,1.4314051866531372,1.4113718271255493
58,0.8549821376800537,2.091249704360962,2.065967082977295,1.57314932346344,1.580132246017456,1.58726966381073
