,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,5,24,28,2,2,0,0,0
true_2,2,47,77,12,6,1,0,0
true_3,0,19,113,70,23,1,0,0
true_4,0,6,47,59,25,8,5,0
true_5,0,0,14,19,26,13,5,2
true_6,0,0,7,13,27,21,16,0
true_7,0,0,3,6,21,40,23,2
true_8,0,0,2,2,5,13,24,9
