epoch,loss,raw_mae,rounded_mae,val_loss,val_raw_mae,val_rounded_mae
0,1.5221275091171265,1.9763972759246826,1.9327417612075806,2.898329019546509,2.8702030181884766,3.066580057144165
1,1.3859020471572876,1.9389324188232422,1.9162492752075195,2.203695774078369,2.1753485202789307,2.2027409076690674
2,1.2637455463409424,1.9440147876739502,1.9218101501464844,2.0172877311706543,1.9886988401412964,2.1647839546203613
3,1.2053390741348267,1.9637173414230347,1.9410924911499023,2.0159571170806885,1.9857330322265625,2.197105646133423
4,1.222469449043274,1.9593267440795898,1.9415756464004517,2.0353848934173584,2.003950595855713,2.1902992725372314
5,1.1694673299789429,2.0064444541931152,1.985513687133789,2.090364456176758,2.0599591732025146,2.2015697956085205
6,1.1542333364486694,1.9900463819503784,1.9660667181015015,2.011209726333618,1.982481598854065,2.027221441268921
7,1.1623573303222656,2.0046372413635254,1.9759122133255005,2.0449931621551514,2.017817974090576,2.028057813644409
8,1.116879940032959,2.0125324726104736,1.992303490638733,1.8270461559295654,1.7996214628219604,1.7844535112380981
9,1.1010682582855225,2.008385181427002,1.993193507194519,1.8781371116638184,1.8439310789108276,1.8350192308425903
10,1.1035501956939697,2.024143934249878,2.001202344894409,1.993510127067566,1.9633320569992065,1.9296921491622925
