,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,12,36,10,3,0,0,0,0
true_2,10,72,56,5,1,1,0,0
true_3,1,49,121,42,8,4,1,0
true_4,0,6,59,52,24,6,3,0
true_5,0,1,9,26,22,15,6,0
true_6,0,0,6,15,20,23,19,1
true_7,0,0,0,6,12,34,35,8
true_8,0,0,0,3,2,7,29,14
