,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,6,37,11,7,0,0,0,0
true_2,1,69,59,13,1,1,1,0
true_3,0,44,103,58,17,3,1,0
true_4,0,5,52,50,30,10,3,0
true_5,0,1,6,29,22,13,7,1
true_6,0,0,4,15,22,27,16,0
true_7,0,0,0,5,13,39,32,6
true_8,0,0,0,3,0,14,28,10
