,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,16,29,10,6,0,0,0,0
true_2,11,72,41,17,3,0,1,0
true_3,2,45,102,58,13,5,1,0
true_4,0,7,42,65,27,6,3,0
true_5,1,0,10,24,22,14,6,2
true_6,0,0,8,13,27,18,13,5
true_7,0,0,0,6,18,35,28,8
true_8,0,0,0,2,5,10,22,16
