,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,4,31,19,7,0,0,0,0
true_2,2,50,75,13,4,0,1,0
true_3,0,30,119,60,15,1,1,0
true_4,0,7,57,52,23,6,5,0
true_5,0,0,16,21,26,10,3,3
true_6,0,1,8,11,28,20,14,2
true_7,0,0,2,12,16,27,32,6
true_8,0,0,2,1,7,13,20,12
