epoch,loss,raw_mae,rounded_mae,val_loss,val_raw_mae,val_rounded_mae
0,1.6605192422866821,1.9380708932876587,1.898518443107605,2.9674627780914307,2.7918059825897217,3.066580057144165
1,1.5094696283340454,1.918257713317871,1.893264651298523,1.8688952922821045,1.6955816745758057,1.6625622510910034
2,1.4268320798873901,1.9525552988052368,1.9348145723342896,2.5420618057250977,2.3762097358703613,2.2027409076690674
3,1.3292713165283203,1.9738017320632935,1.9540640115737915,2.8233017921447754,2.6627488136291504,2.9216630458831787
4,1.319746732711792,1.99431312084198,1.9658061265945435,2.5143930912017822,2.3585000038146973,2.2027409076690674
5,1.2958710193634033,1.9997844696044922,1.9814749956130981,2.134648561477661,1.9888485670089722,2.0677247047424316
6,1.2129688262939453,2.012045383453369,1.999703049659729,2.1591269969940186,2.014230489730835,2.1015751361846924
7,1.20307195186615,2.027590274810791,2.009291887283325,1.6131800413131714,1.4736448526382446,1.475327491760254
8,1.1767297983169556,2.038789749145508,2.0152390003204346,1.4937424659729004,1.3713539838790894,1.3718347549438477
9,1.1512393951416016,2.062206745147705,2.0446367263793945,1.4145371913909912,1.2905662059783936,1.2662533521652222
10,1.1348209381103516,2.0552265644073486,2.030280113220215,1.353334903717041,1.2306244373321533,1.2157539129257202
11,1.0830965042114258,2.0641591548919678,2.0390360355377197,1.4117494821548462,1.2942531108856201,1.2833746671676636
12,1.0912293195724487,2.046633243560791,2.0257568359375,1.1865521669387817,1.1061171293258667,1.0561186075210571
