,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
true_1,5,34,18,4,0,0,0,0
true_2,1,53,73,15,2,1,0,0
true_3,0,39,107,59,17,3,1,0
true_4,0,3,55,48,31,8,5,0
true_5,0,1,7,16,30,19,4,2
true_6,0,0,3,15,24,29,10,3
true_7,0,0,1,3,11,43,30,7
true_8,0,0,1,1,4,15,21,13
